OBJECTID,NAME,CATEGORY,ZIP_CODE,COMMENTS,Location 1
129,HILLDALE SCHOOL,K-8 SCHOOL,94014,Based on parcels tax use and Google,"79 Florence St.
DALY CITY, CA 94014
(37.697856886050488, -122.458427246270760)"
130,TAYLOR MIDDLE SCHOOL,MIDDLE SCHOOL,94030,Revision based on parcels tax use,"850 Taylor Blvd.
MILLBRAE, CA 94030
(37.597582161592634, -122.400967828747210)"
131,RALSTON INTERMEDIATE SCHOOL,MIDDLE SCHOOL,94002,,"2675 Ralston Ave.
BELMONT, CA 94002
(37.512270941165099, -122.312876116055050)"
132,FOX ELEMENTARY SCHOOL,ELEMENTARY SCHOOL,94002,Revision based on parcels tax use,"3100 Saint James Rd.
BELMONT, CA 94002
(37.507639287736552, -122.321811426420840)"
133,BEECHWOOD ELEMENTARY SCHOOL,ELEMENTARY SCHOOL,94025,Based on parcels tax use,"50 Terminal Ave.
MENLO PARK, CA 94025
(37.478792121993351, -122.167742746463870)"
134,RONALD MCNAIR ACADEMY MIDDLE SCHOOL,MIDDLE SCHOOL,94303,Based on Caltrans data and Goggle Map,"2033 Pulgas Ave.
EAST PALO ALTO, CA 94303
(37.461740468101191, -122.130159186117110)"
135,MERCY HIGH SCHOOL,HIGH SCHOOL,94010,Based on parcels tax use,"2750 Adeline Dr.
BURLINGAME, CA 94010
(37.580949720620147, -122.383068162787540)"
136,JOHN F. KENNEDY MIDDLE SCHOOL,MIDDLE SCHOOL,94061,,"2521 Goodwin Ave.
REDWOOD CITY, CA 94061
(37.460089887130906, -122.239040654345430)"
137,ST. PATRICK'S SEMINARY AND UNIVERSITY,RELIGIOUS SCHOOL,94025,,"320 Middlefield Rd.
MENLO PARK, CA 94025
(37.456328965710789, -122.167416084890580)"
138,NATIVITY ELEMENTARY SCHOOL,ELEMENTARY SCHOOL,94025,,"1250 Laurel St.
MENLO PARK, CA 94025
(37.457765827348851, -122.183215369341720)"
139,HENRY FORD ELEMENTARY SCHOOL,ELEMENTARY SCHOOL,94061,,"2498 Massachusetts Ave.
REDWOOD CITY, CA 94061
(37.456558503774353, -122.232592636169230)"
